Road,Progress_m,RelativeElevation_m,LocalTurning_K_deg,LocalSlopeVariation_G_deg,Dstar_m,ValidForCorrelation,IsAdaptiveWaypoint,RoadEndWindowClass
A,257.458846719204,23.2716577354792,9.00041623934877,2.31462887827674,8.05718173806963,1,1,FullD0Window
A,259.493372300156,23.5246234783918,6.95066581640638,2.3516174818892,8.03143899513213,1,0,FullD0Window
A,261.511177248463,23.7596786313949,5.58504057545017,2.33819868586181,8.02593895309508,1,0,FullD0Window
A,263.511570258871,23.9752992893035,3.99814283572235,2.19009385811049,8.03968139717125,1,0,FullD0Window
A,265.516028457274,24.1715335851457,2.66949498150067,1.92591504826573,8.04914494900254,1,1,FullD0Window
A,267.524811295288,24.3485650866388,2.23792094280898,1.59501467713089,8.05188522017073,1,0,FullD0Window
A,269.537116201558,24.5080587886999,2.70750065320459,1.20863418981738,8.04679940671116,1,0,FullD0Window
A,271.551251656042,24.6510796880854,3.93667276434265,0.814433046800975,8.03426834257004,1,0,FullD0Window
A,273.565173406277,24.7804475946934,5.21491102979267,0.503663948731729,8.01600233436977,1,1,FullD0Window
A,275.576696515458,24.8989249978729,5.78698685938053,0.341660457935654,8.00529058941174,1,0,FullD0Window
A,277.583915608269,25.010116728315,6.216736376676,0.392699748346334,8.01678705084811,1,0,FullD0Window
A,279.585519998612,25.1175029395685,6.91150717229152,0.69233822194773,8.0361086657303,1,0,FullD0Window
A,281.581175740646,25.2242874242112,8.16280838498168,1.13255394387425,8.04915111788307,1,1,FullD0Window
A,283.58198710487,25.3328887429549,10.2497020193724,1.54075041532384,8.03332836885227,1,0,FullD0Window
A,285.600702659117,25.4448718207916,12.4050711970194,1.8475601899469,8.00447340264543,1,0,FullD0Window
A,287.621628664342,25.5636208685984,14.0366854428962,1.99795911236929,8.01418365274503,1,0,FullD0Window
A,289.630326858529,25.6947831023678,15.5914334186698,1.94512834379854,8.04071374706416,1,1,FullD0Window
A,291.615315473722,25.8416626916802,17.3172908574428,1.65059268033217,8.06093250151577,1,0,FullD0Window
A,293.605176061763,26.0048411134122,18.2882528128385,1.24216636946648,8.05191423287704,1,0,FullD0Window
A,295.635812317087,26.1859509266922,18.7665004220355,0.91486933975894,8.04298982384682,1,0,FullD0Window
A,297.671040605594,26.3832427007222,23.8256629101817,0.727940002867983,8.03373683896558,1,1,FullD0Window
A,299.676247975238,26.5929019520157,35.270105825947,0.683870067996049,8.03232337071063,1,0,FullD0Window
A,301.65709029464,26.8070878125569,48.8382654824489,0.864826019485926,8.05617709561301,1,0,FullD0Window
A,303.678802140934,27.0209079237214,63.9544565842195,1.00181816636999,6.03446524931894,1,0,FullD0Window
A,305.704777444559,27.238503773282,75.1186646713107,0.9417376751608,6.01407292128187,1,1,FullD0Window
A,307.708571345949,27.4625028104132,75.1172548319821,0.764540222735447,4.0102790198921,1,0,FullD0Window
A,309.713267390253,27.6950359125077,71.4536949752755,0.71439803921267,4.01211105694466,1,0,FullD0Window
A,311.718850365841,27.9353872116332,69.9001105343731,0.665430858325426,4.01893535814861,1,1,FullD0Window
A,313.725378447198,28.1817290143686,63.0657518356111,0.606828242724829,8.03770402155374,1,0,FullD0Window
A,315.73778572399,28.4337411232935,53.6128255102939,0.511628240945402,8.04250131691828,1,1,FullD0Window
A,317.750525525957,28.6912191302667,46.0545464809125,0.376465481895486,8.04661007377229,1,0,FullD0Window
A,319.759800108683,28.9538212993725,32.4397623223217,0.203777754067468,8.05424318039729,1,0,FullD0Window
A,321.763082468751,29.218086516142,18.9495829966853,0.185504818822535,8.06912050689721,1,0,FullD0Window
A,323.780287040908,29.4829441350554,19.3520841233426,0.276787930560163,8.06966616500705,1,1,FullD0Window
A,325.797135599729,29.7485555185559,16.4378976678198,0.380141963130492,8.06981075542774,1,0,FullD0Window
A,327.81404328908,30.0159592732932,14.5918079147694,0.470449693604376,8.0686201056123,1,0,FullD0Window
A,329.832202975648,30.2841743856793,14.190867654707,0.497613409202406,8.0660835067099,1,0,FullD0Window
A,331.849953205915,30.5493668975517,14.4707424857296,0.45817261599933,8.06386062565014,1,1,FullD0Window
A,333.866946355157,30.80975419939,15.7127196859531,0.512002860505198,8.06289356910128,1,0,FullD0Window
A,335.882663394692,31.0647171957671,17.7482671431128,0.649117289904435,8.06316592707344,1,0,FullD0Window
A,337.898286482358,31.3152563172619,20.010013017098,0.781381065243072,8.065376643599,1,0,FullD0Window
A,339.913813831565,31.5634652385677,22.3394004617664,0.900313929220163,8.06805647715601,1,1,FullD0Window
A,341.929839924258,31.812583064603,24.0992719199167,0.854525893830633,8.07172662971192,1,0,FullD0Window
A,343.945829321766,32.0696974669207,24.6655043330823,0.644380647453566,8.0748335352464,1,0,FullD0Window
A,345.963663125957,32.3380830867966,23.6472656006512,0.414482392264008,8.07730983177191,1,0,FullD0Window
A,347.981870308721,32.6146136694243,19.9762113485063,0.273393192746882,8.07928374235252,1,1,FullD0Window
A,350.00156655397,32.8955408866126,15.2376322358334,0.269976953306414,8.08128754332631,1,0,FullD0Window
A,352.020662857012,33.1789863547459,11.5709128837602,0.363395205861294,8.0810196848235,1,0,FullD0Window
A,354.040972957729,33.4646570882059,8.07023299810333,0.49179249649259,8.08056817410909,1,0,FullD0Window
A,356.061154051074,33.7528527430993,6.59551466089908,0.705378915219889,8.07839722799861,1,1,FullD0Window
A,358.082854097296,34.0406157396237,8.40075126918383,0.942153520900202,8.07459966958879,1,0,FullD0Window
A,360.101682541836,34.3247321504366,8.65719067123264,1.15142514786733,8.07144665149445,1,0,FullD0Window
A,362.121541131838,34.6023402880455,8.5681389045659,1.36832151774801,8.06669301487153,1,0,FullD0Window
A,364.139551279072,34.8735113079832,8.66391076668768,1.61207736585312,8.06114055850225,1,1,FullD0Window
A,366.157453766885,35.1365065535703,9.12610699223163,1.81523655129856,8.05414827117403,1,0,FullD0Window
A,368.17312919333,35.3889703757166,11.2587313047347,1.9327703736046,8.04860419531065,1,0,FullD0Window
A,370.18823414671,35.6288520667483,15.8322522209725,1.98087190235703,8.04022839588993,1,0,FullD0Window
A,372.200691837574,35.8546059338432,21.6659647854717,1.96730277550584,8.03321022349405,1,1,FullD0Window
A,374.211602038059,36.0641846676356,26.7529039080774,1.86199224202539,8.02646485228803,1,0,FullD0Window
A,376.221733388641,36.2567568189413,28.8044998374186,1.67780966476244,8.01931390588584,1,0,FullD0Window
A,378.2284625426,36.4338860938753,26.1355305169923,1.44399738638493,8.01764664953129,1,0,FullD0Window
A,380.233902061068,36.5958916093898,20.1853115217565,1.1662013446585,8.01541717524958,1,1,FullD0Window
A,382.238066890347,36.7433335466823,13.7117905212297,0.860067489769796,8.01455011580441,1,0,FullD0Window
A,384.241047294527,36.8772380187365,9.50463357446885,0.575950576965657,8.01456770724104,1,0,FullD0Window
A,386.246109192131,37.0024645323293,7.46872997375875,0.384736059460923,8.01196318562887,1,0,FullD0Window
A,388.249319236318,37.121521707617,5.62424178858111,0.280849203372988,8.01287724415641,1,1,FullD0Window
A,390.252617006152,37.2352017192362,4.77197204907064,0.291851031969778,8.01395991531592,1,0,FullD0Window
A,392.255615001768,37.3456678730212,4.25486047666194,0.441846215202946,8.01596029696628,1,0,FullD0Window
A,394.25807237776,37.4546958013059,3.90227900396838,0.711546827865472,8.01681212870074,1,0,FullD0Window
