ScaleR,InstanceNumber,InstanceID,MethodOrder,MethodID,MethodLabel,RunCount,J_Mean,J_SD,L3D_Mean_m,L3D_SD_m,Hplus_Mean_m,Hplus_SD_m,FlightTime_Mean_s,FlightTime_SD_s,TransferEnergy_Mean_kJ,TransferEnergy_SD_kJ,TransferLength_Mean_m,TransferLength_SD_m,DetourCount_Mean,UnsafeStraightCount_Mean,MinimumTransferClearance_Mean_m,Improvement_Mean_pct,Improvement_SD_pct,Gap_Mean_pct,Gap_SD_pct,Runtime_Mean_s,Runtime_SD_s,Generations_Mean,J_MeanPlusMinusSD,L3D_MeanPlusMinusSD_m,Hplus_MeanPlusMinusSD_m,FlightTime_MeanPlusMinusSD_s,TransferEnergy_MeanPlusMinusSD_kJ,Improvement_MeanPlusMinusSD_pct,Gap_MeanPlusMinusSD_pct,Runtime_MeanPlusMinusSD_s
10,5,R10_I05,4,GA_DP,Proposed GA-DP,20,393.692547126083,0.366917451553468,8158.99373726158,2.38254557585934,380.179393396528,9.21907001273686,1456.28514069237,0.510011940046655,74.2663822521967,0.362404887480548,3327.53914794705,2.3825455758599,5.9,4.9,25,20.1416401649189,0.0744271795080331,0.0302888821900402,0.0932272123075165,0.15739293,0.00388793927179398,150,393.693 ± 0.367,8158.994 ± 2.383,380.179 ± 9.219,1456.285 ± 0.510,74.266 ± 0.362,20.142 ± 0.074,0.030 ± 0.093,0.1574 ± 0.0039
10,5,R10_I05,5,EXACT,Exact optimum,1,393.573338161356,0,8159.76780998641,0,377.18418074771,0,1456.45084007547,0,74.1486393886025,0,3328.31322067189,0,6,5,25,20.1658210453299,0,0,0,0.0495736,0,0,393.573 ± 0.000,8159.768 ± 0.000,377.184 ± 0.000,1456.451 ± 0.000,74.149 ± 0.000,20.166 ± 0.000,0.000 ± 0.000,0.0496 ± 0.0000
10,6,R10_I06,1,FIXED,Fixed order + fixed direction,1,501.238239313395,0,13214.8035715014,0,646.145069432997,0,1824.75282725763,0,181.885854604729,0,8387.1014759972,0,9,9,25,0,0,25.9536336941313,0,2.35e-05,0,0,501.238 ± 0.000,13214.804 ± 0.000,646.145 ± 0.000,1824.753 ± 0.000,181.886 ± 0.000,0.000 ± 0.000,25.954 ± 0.000,0.0000 ± 0.0000
10,6,R10_I06,2,NN_DP,Nearest neighbour-DP,1,434.08118642166,0,10105.074035189,0,483.405463922445,0,1577.18266039687,0,115.122141053671,0,5277.3719396848,0,7,6,25,13.3982301477492,0,9.07807597233858,0,0.000156,0,0,434.081 ± 0.000,10105.074 ± 0.000,483.405 ± 0.000,1577.183 ± 0.000,115.122 ± 0.000,13.398 ± 0.000,9.078 ± 0.000,0.0002 ± 0.0000
10,6,R10_I06,3,JOINT_GA,Joint-encoding GA,20,415.9644446018,7.59104312725716,9380.37685990738,352.439888686963,403.719240031699,45.0612284443326,1527.02288458531,24.183977878282,96.9173343829429,7.60827014350288,4552.67476440314,352.439888686964,6.25,4.9,25,17.0126275338459,1.51445810232984,4.52561112840407,1.90751501065962,0.802469345,0.325311059459397,150,415.964 ± 7.591,9380.377 ± 352.440,403.719 ± 45.061,1527.023 ± 24.184,96.917 ± 7.608,17.013 ± 1.514,4.526 ± 1.908,0.8025 ± 0.3253
10,6,R10_I06,4,GA_DP,Proposed GA-DP,20,400.43712138957,2.07819355824885,8578.63754181192,144.46415166637,406.849619032753,13.9920808218312,1467.10602959773,9.85575158428791,81.3418385139027,2.15778593540618,3750.93544630768,144.46415166637,5.65,4.25,25,20.1104205580772,0.414611934056666,0.623828250061466,0.522218796673886,0.463030405,0.178511300166181,150,400.437 ± 2.078,8578.638 ± 144.464,406.850 ± 13.992,1467.106 ± 9.856,81.342 ± 2.158,20.110 ± 0.415,0.624 ± 0.522,0.4630 ± 0.1785
10,6,R10_I06,5,EXACT,Exact optimum,1,397.95456836967,0,8438.23376312298,0,410.10437237913,0,1456.06486723264,0,78.8074283645969,0,3610.53166761874,0,5,4,25,20.605704601709,0,0,0,0.0483141,0,0,397.955 ± 0.000,8438.234 ± 0.000,410.104 ± 0.000,1456.065 ± 0.000,78.807 ± 0.000,20.606 ± 0.000,0.000 ± 0.000,0.0483 ± 0.0000
10,7,R10_I07,1,FIXED,Fixed order + fixed direction,1,527.516842368778,0,14261.7520351683,0,775.377644189691,0,1888.59220811507,0,207.937384906957,0,9429.84284590653,0,8,8,25,0,0,34.885283701226,0,5.55e-05,0,0,527.517 ± 0.000,14261.752 ± 0.000,775.378 ± 0.000,1888.592 ± 0.000,207.937 ± 0.000,0.000 ± 0.000,34.885 ± 0.000,0.0001 ± 0.0000
10,7,R10_I07,2,NN_DP,Nearest neighbour-DP,1,404.721903166949,0,8563.46454370118,0,425.882473652157,0,1481.01336374764,0,85.5267025045215,0,3731.55535443945,0,7,4,25.7785443968074,23.277918227298,0,3.48679766059577,0,0.0003494,0,0,404.722 ± 0.000,8563.465 ± 0.000,425.882 ± 0.000,1481.013 ± 0.000,85.527 ± 0.000,23.278 ± 0.000,3.487 ± 0.000,0.0003 ± 0.0000
10,7,R10_I07,3,JOINT_GA,Joint-encoding GA,20,400.831701797255,4.1083641380828,8377.21654358798,202.223331051792,419.660022699534,12.9692903920687,1467.3155332927,15.5618962209032,81.6170499438264,4.12896618932108,3545.30735432625,202.223331051792,6.3,3.9,25.6274122100843,24.0153736139782,0.778811937005553,2.49207887010212,1.05050269072895,1.011272285,0.0752911502236574,150,400.832 ± 4.108,8377.217 ± 202.223,419.660 ± 12.969,1467.316 ± 15.562,81.617 ± 4.129,24.015 ± 0.779,2.492 ± 1.051,1.0113 ± 0.0753
