ScaleR,InstanceNumber,InstanceID,MethodOrder,MethodID,MethodLabel,Run,Seed,J,L3D_m,Hplus_m,FlightTime_s,TransferEnergy_kJ,TransferLength_m,DetourCount,UnsafeStraightCount,MinimumTransferClearance_m,ImprovementVsFixed_pct,GapToExact_pct,Runtime_s,Generations,OrderLibraryIndices,OrderRouteIDs,Directions,Feasible,OptimalityCertified,ExactSolverGap_pct
5,2,R05_I02,3,JOINT_GA,Joint-encoding GA,16,20764016,218.055552709551,5144.75470431962,252.024796891146,790.837849177117,58.9051966921588,2737.84645450859,3,2,25.204433963884,9.70308404477589,0,0.2525365,150,4-24-20-12-21,M001_S001200|M007_S007800|M005_S006200|F132_S000000|M002_S011200,-+---,1,0,NaN
5,2,R05_I02,3,JOINT_GA,Joint-encoding GA,17,20764017,219.74986492537,5308.43028335086,208.774955201094,815.399556558143,60.5110495614049,2901.52203353982,3,3,25.204433963884,9.00146848923194,0.777009433956589,0.2492021,150,4-12-24-20-21,M001_S001200|F132_S000000|M007_S007800|M005_S006200|M002_S011200,--++-,1,0,NaN
5,2,R05_I02,3,JOINT_GA,Joint-encoding GA,18,20764018,218.055552709551,5144.75470431962,252.024796891146,790.837849177117,58.9051966921588,2737.84645450859,3,2,25.204433963884,9.70308404477589,0,0.2539987,150,4-24-20-12-21,M001_S001200|M007_S007800|M005_S006200|F132_S000000|M002_S011200,-+---,1,0,NaN
5,2,R05_I02,3,JOINT_GA,Joint-encoding GA,19,20764019,218.055552709551,5144.75470431962,252.024796891146,790.837849177117,58.9051966921588,2737.84645450859,3,2,25.204433963884,9.70308404477589,0,0.2527773,150,4-24-20-12-21,M001_S001200|M007_S007800|M005_S006200|F132_S000000|M002_S011200,-+---,1,0,NaN
5,2,R05_I02,3,JOINT_GA,Joint-encoding GA,20,20764020,218.055552709551,5144.75470431962,252.024796891146,790.837849177117,58.9051966921588,2737.84645450859,3,2,25.204433963884,9.70308404477589,0,0.2518406,150,4-24-20-12-21,M001_S001200|M007_S007800|M005_S006200|F132_S000000|M002_S011200,-+---,1,0,NaN
5,2,R05_I02,4,GA_DP,Proposed GA-DP,1,20764501,218.055552709551,5144.75470431962,252.024796891146,790.837849177117,58.9051966921588,2737.84645450859,3,2,25.204433963884,9.70308404477589,0,0.1345622,150,4-24-20-12-21,M001_S001200|M007_S007800|M005_S006200|F132_S000000|M002_S011200,-+---,1,0,NaN
5,2,R05_I02,4,GA_DP,Proposed GA-DP,2,20764502,218.055552709551,5144.75470431962,252.024796891146,790.837849177117,58.9051966921588,2737.84645450859,3,2,25.204433963884,9.70308404477589,0,0.1348821,150,4-24-20-12-21,M001_S001200|M007_S007800|M005_S006200|F132_S000000|M002_S011200,-+---,1,0,NaN
5,2,R05_I02,4,GA_DP,Proposed GA-DP,3,20764503,218.055552709551,5144.75470431962,252.024796891146,790.837849177117,58.9051966921588,2737.84645450859,3,2,25.204433963884,9.70308404477589,0,0.1742728,150,4-24-20-12-21,M001_S001200|M007_S007800|M005_S006200|F132_S000000|M002_S011200,-+---,1,0,NaN
5,2,R05_I02,4,GA_DP,Proposed GA-DP,4,20764504,218.055552709551,5144.75470431962,252.024796891146,790.837849177117,58.9051966921588,2737.84645450859,3,2,25.204433963884,9.70308404477589,0,0.1352976,150,4-24-20-12-21,M001_S001200|M007_S007800|M005_S006200|F132_S000000|M002_S011200,-+---,1,0,NaN
5,2,R05_I02,4,GA_DP,Proposed GA-DP,5,20764505,218.055552709551,5144.75470431962,252.024796891146,790.837849177117,58.9051966921588,2737.84645450859,3,2,25.204433963884,9.70308404477589,0,0.1316667,150,4-24-20-12-21,M001_S001200|M007_S007800|M005_S006200|F132_S000000|M002_S011200,-+---,1,0,NaN
5,2,R05_I02,4,GA_DP,Proposed GA-DP,6,20764506,218.055552709551,5144.75470431962,252.024796891146,790.837849177117,58.9051966921588,2737.84645450859,3,2,25.204433963884,9.70308404477589,0,0.1339567,150,4-24-20-12-21,M001_S001200|M007_S007800|M005_S006200|F132_S000000|M002_S011200,-+---,1,0,NaN
