road_id,short_id,road_class,source_feature_id,paper_road_id,representative_longitude_deg,representative_latitude_deg,coordinate_reference_system,google_maps_lookup_url,source_note
MORND-FLD-189,F189,Field,189,,99.067434768705,24.2539179755577,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25391798,99.06743477",Manually digitized with Google satellite imagery as reference
MORND-FLD-190,F190,Field,190,,99.0680694241846,24.2546062705316,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25460627,99.06806942",Manually digitized with Google satellite imagery as reference
MORND-FLD-191,F191,Field,191,,99.0686115473035,24.2553250044928,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25532500,99.06861155",Manually digitized with Google satellite imagery as reference
MORND-FLD-192,F192,Field,192,,99.0687625572442,24.2552163953191,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25521640,99.06876256",Manually digitized with Google satellite imagery as reference
MORND-FLD-193,F193,Field,193,,99.0693752130858,24.2551945327146,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25519453,99.06937521",Manually digitized with Google satellite imagery as reference
MORND-FLD-194,F194,Field,194,,99.0601409867077,24.2564542086782,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25645421,99.06014099",Manually digitized with Google satellite imagery as reference
MORND-FLD-195,F195,Field,195,,99.0630137950401,24.2537787471124,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25377875,99.06301380",Manually digitized with Google satellite imagery as reference
MORND-FLD-196,F196,Field,196,,99.065123092953,24.2571123271716,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25711233,99.06512309",Manually digitized with Google satellite imagery as reference
MORND-FLD-197,F197,Field,197,,99.0667729170085,24.2572867013112,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25728670,99.06677292",Manually digitized with Google satellite imagery as reference
MORND-FLD-198,F198,Field,198,,99.0706391588809,24.2572976564687,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25729766,99.07063916",Manually digitized with Google satellite imagery as reference
MORND-FLD-199,F199,Field,199,,99.0624970690675,24.2549668212142,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25496682,99.06249707",Manually digitized with Google satellite imagery as reference
MORND-FLD-200,F200,Field,200,,99.0603829284455,24.2530907633474,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25309076,99.06038293",Manually digitized with Google satellite imagery as reference
MORND-FLD-201,F201,Field,201,,99.0582236578747,24.254977542947,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25497754,99.05822366",Manually digitized with Google satellite imagery as reference
MORND-FLD-202,F202,Field,202,,99.0584276173013,24.2544665031758,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25446650,99.05842762",Manually digitized with Google satellite imagery as reference
MORND-FLD-203,F203,Field,203,,99.0593939874779,24.2548606118716,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25486061,99.05939399",Manually digitized with Google satellite imagery as reference
